,PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,RAJ,DECJ
20,J1744-1134,GBT,4,2005,0.208385918066,2010,0.0803390726595,2020.0,0.0401695363298,2025.0,0.0126240673493,,,4.6425758103,-0.201876416814
21,J1747-4036,GBT,4,2005,,2012,0.701638942898,2020.0,0.350819471449,2025.0,0.110251923215,,,4.65566577969,-0.70860367631
22,J1751-2857,GBT,4,2005,,2017,2.49397757008,2020.0,1.24698878504,2025.0,0.391890767096,,,4.67311907221,-0.505272818452
23,J1802-2124,GBT,4,2005,,2017,0.756700483808,2020.0,0.378350241904,2025.0,0.118904009651,,,4.72111562664,-0.373500459927
24,J1811-2405,GBT,4,2005,,2017,0.368007149651,2020.0,0.184003574825,2025.0,0.0578267446763,,,4.76038553481,-0.420333461522
25,J1832-0836,GBT,4,2005,,2013,0.35247306096,2020.0,0.17623653048,2025.0,0.0553857981311,,,4.85201532054,-0.150098315672
26,J1843-1113,GBT,4,2005,,2017,0.221951706289,2020.0,0.110975853145,2025.0,0.034876345914,,,4.90001187497,-0.195767764432
27,J1909-3744,GBT,4,2005,0.0588304743126,2010,0.029525128426,2020.0,0.014762564213,2025.0,0.00463942633899,,,5.01345827635,-0.658570904419
28,J1911-1114,GBT,4,2005,,2017,1.49704356783,2020.0,0.748521783916,2025.0,0.235237701899,,,5.02218492261,-0.196058652641
29,J1918-0642,GBT,4,2005,0.612316379039,2010,0.301266850167,2020.0,0.150633425084,2025.0,0.0473395183777,,,5.05272818452,-0.116937059884
30,J2010-1323,GBT,5,2005,,2009,1.32281317869,2010.0,0.369589102716,2020.0,0.184794551358,2025.0,0.0580753246185,5.27962098728,-0.233583231559
31,J2124-3358,GBT,4,2005,,2017,0.836065601685,2020.0,0.418032800842,2025.0,0.131375034771,,,5.6025068989,-0.592830169261
32,J2145-0750,GBT,4,2005,0.677322757168,2010,0.224673740154,2020.0,0.112336870077,2025.0,0.0353040722705,,,5.69413668463,-0.136717458073
